🇨🇳央视频道👉移动,#genre#
深圳卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
北京卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
江西卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
海南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
贵州卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
辽宁卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
重庆卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
吉林卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
黑龙江视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8

兵器科技,http://pi.0472.org/live/bqkj.m3u8?token=240413
第一剧场,http://pi.0472.org/live/dyjc.m3u8?token=240413
怀旧剧场,http://pi.0472.org/live/hjjc.m3u8?token=240413
风云剧场,http://pi.0472.org/live/fyjc.m3u8?token=240413
风云音乐,http://pi.0472.org/live/fyyy.m3u8?token=240413
风云足球,http://pi.0472.org/live/fyzq.m3u8?token=240413
电视指南,http://pi.0472.org/live/dszn.m3u8?token=240413
女性时尚,http://pi.0472.org/live/nxss.m3u8?token=240413
文化精品,http://pi.0472.org/live/whjp.m3u8?token=240413
世界地理,http://pi.0472.org/live/sjdl.m3u8?token=240413
高尔夫网球,http://pi.0472.org/live/gefwq.m3u8?token=240413
央视台球,http://pi.0472.org/live/ystq.m3u8?token=240413
卫生健康,http://pi.0472.org/live/wsjk.m3u8?token=240413
CGTN,http://pi.0472.org/live/cgtn.m3u8?token=240413
CGTN纪录,http://pi.0472.org/live/cgtnjl.m3u8?token=240413
CGTN西语,http://pi.0472.org/live/cgtne.m3u8?token=240413
CGTN法语,http://pi.0472.org/live/cgtnf.m3u8?token=240413
CGTN阿语,http://pi.0472.org/live/cgtna.m3u8?token=240413
CGTN俄语,http://pi.0472.org/live/cgtnr.m3u8?token=240413
北京卫视,http://pi.0472.org/live/bjws.m3u8?token=240413
东方卫视,http://pi.0472.org/live/dfws.m3u8?token=240413
天津卫视,http://pi.0472.org/live/tjws.m3u8?token=240413
重庆卫视,http://pi.0472.org/live/cqws.m3u8?token=240413
黑龙江卫视,http://pi.0472.org/live/hljws.m3u8?token=240413
辽宁卫视,http://pi.0472.org/live/lnws.m3u8?token=240413
河北卫视,http://pi.0472.org/live/hbws.m3u8?token=240413
山东卫视,http://pi.0472.org/live/sdws.m3u8?token=240413
安徽卫视,http://pi.0472.org/live/ahws.m3u8?token=240413
河南卫视,http://pi.0472.org/live/hnws.m3u8?token=240413
湖北卫视,http://pi.0472.org/live/hubws.m3u8?token=240413
湖南卫视,http://pi.0472.org/live/hunws.m3u8?token=240413
江西卫视,http://pi.0472.org/live/jxws.m3u8?token=240413
江苏卫视,http://pi.0472.org/live/jsws.m3u8?token=240413
浙江卫视,http://pi.0472.org/live/zjws.m3u8?token=240413
东南卫视,http://pi.0472.org/live/dnws.m3u8?token=240413
广东卫视,http://pi.0472.org/live/gdws.m3u8?token=240413
深圳卫视,http://pi.0472.org/live/szws.m3u8?token=240413
广西卫视,http://pi.0472.org/live/gxws.m3u8?token=240413
贵州卫视,http://pi.0472.org/live/gzws.m3u8?token=240413
四川卫视,http://pi.0472.org/live/scws.m3u8?token=240413
新疆卫视,http://pi.0472.org/live/xjws.m3u8?token=240413
海南卫视,http://pi.0472.org/live/hinws.m3u8?token=240413

🎬电影频道👉全网,#genre#
邵氏影院@代,http://159.75.85.63:35455/douyu/4246519
邵氏影院@代,https://www.goodiptv.club/douyu/4246519
邵氏影院@代,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
邵氏影院@代,http://www.goodiptv.club/douyu/4246519
经典影院@代,http://ali.hlspull.yximgs.com/live/asdfg32516.flv
林正英频道台,https://hw.flv.huya.com:443/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.flv?ctype=tars_mp&exsphd=264_500%2C264_2000%2C264_4000%2C264_6000%2C264_8000%2C&fs=bgct&seqid=3180385652194&sphd=264_%2A-265_%2A&sphdDC=huya&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sv=2024041407&t=102&uid=1467335576631&uuid=648783758&ver=1&wsSecret=3d15c69c32f4799d20a00e41bdbf0831&wsTime=661b663b
香港电影频道,http://live-cmvideo.cmread.com:80/wd_r2/virtuallive/5100180869/150/01.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=a78e73c9d50f677a369a589aace6f489
河南酒店影01,http://477.hsmedia.top:8080/newlive/live/hls/59/live.m3u8
河南酒店影02,http://477.hsmedia.top:8080/newlive/live/hls/58/live.m3u8
周星驰影@代,http://223.109.210.49/txdirect.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.flv
超级电影@代,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
中国功夫@代,http://[2409:8087:1a0b:df::4001]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
重温经典@代,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典@代,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
经典功夫@代,http://43.138.170.29:35455/yy/1355002394
新白娘子传奇,http://43.138.170.29:35455/yy/1354930969
新白娘子传奇,https://live.metshop.top/yy/1354490667
新白娘子修复,https://live.metshop.top/yy/1354930969
喜剧电影频道,http://159.75.85.63:35455/douyu/9292492
喜剧电影频道,http://43.138.170.29:35455/douyu/9292492
金马影院@代,http://tvbox6.com/tv/yximgs.php?id=65
东森电影@代,http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
星光视界@代,http://cfss.cc/cdn/yy/1353422557.flv
网神影厅@代,https://www.goodiptv.club/douyu/508118
1905电影频道,https://hlslive.1905.com/live/LIVENCOI8M4RGOOJ9/index.m3u8?tm=1713585901&sign=06c40b82447ae72f0bfd3dc310363405
1905电影(亚洲),http://xxw.me0.cn/1905dy.php?id=1905a
1905电影(国际),http://xxw.me0.cn/1905dy.php?id=1905b
斗鱼4K影@代,http://mmitv.top/test/douyu.php?id=9249162
斗鱼4K影@代,http://159.75.85.63:35455/douyu/9249162
重温经典@代,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
北京淘精彩,http://218.241.192.50:8808/udp/239.3.1.178:8001
北京萌宠TV,http://218.241.192.50:8808/udp/239.3.1.102:8001
北京淘Baby,http://218.241.192.50:8808/udp/239.3.1.238:8001
北京淘剧场,http://218.241.192.50:8808/udp/239.3.1.95:8001
北京淘电影,http://218.241.192.50:8808/udp/239.3.1.250:8001
北京淘娱乐,http://218.241.192.50:8808/udp/239.3.1.100:8001
电影星爷@代,http://cfss.cc/cdn/hy/11342412.flv
周星驰典@代,http://tc-tct.douyucdn2.cn/dyliveflv1a/3637778raLSXdOdu_2000.m3u8
红色轮播@代,http://mywlkj.ddns.net:754/tv/migu.php?id=hslbt
绝版电影@代,https://lunbo.freetv.top/yy/1455988450
绝版电影@部,https://lunbo.freetv.top/yy/1355263385
特辑电影@代,https://www.goodiptv.club/douyu/3637778
功夫电影@代,http://tvbox6.com/tv/yximgs.php?id=68
经典功夫@代,https://lunbo.freetv.top/yy/1355002394
新白娘子传奇,https://lunbo.freetv.top/yy/1354930969
新白娘子传奇,http://43.138.170.29:35455/yy/1354930969
超级电影ipv6,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
峨眉电影高清,http://182.138.136.195:4455/rtp/239.93.0.252:5140?Cf=cfss.cc
军旅剧场ipv6,http://[2409:8087:1a0b:df::4018]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
海外剧场ipv6,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
CCtv6影院代,https://epg.pw/stream/753fe6b20478c17a39f0c17d3c8d98a74cd5890a6e40f4ce011380f2dd185285.m3u8
CCtv6影院代,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
惊悚悬疑ipv6,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
明星大片ipv6,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
CHC动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
CHC家庭影院,http://fxgm.fxjf.work:19901/tsfile/live/1014_1.m3u8
CHC高清电影,http://fxgm.fxjf.work:19901/tsfile/live/1016_1.m3u8
惊嫊悬疑电影,http://[2409:8087:1a0b:df::4002]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
梨园卫视频道,http://222.223.118.222:2180/live/lypd/index.m3u8
梨园频道ipv6,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA0q1S1k1f36SqqriM0FZoFSAJRfCt8SS7X6sTRmXb81a8O4H%2FdroDKjLoDeaMQdyJQ
黑莓电影@代,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225743/1.m3u8
黑莓动画@代,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225662/1.m3u8
星爷影院@代,http://mmitv.top:80/test/douyu.php?id=122402&u=4654622&cate
豆瓣高分@代,http://43.138.170.29:35455/douyu/8770422
下饭神剧@代,http://43.138.170.29:35455/douyu/276200
超级电影ipv6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电影ipv6,http://[2409:8087:7000:20:1000::22]:6060/000000001000/1000000004000002120/index.m3u8?channel-id=ystenlive&Contentid=1000000004000002120&livemode=1&stbId=3
超级电视ipv6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
大吉大利影院,https://pull.kktv8.com/livekktv/128600025.flv
吃米滴虫✔原,http://159.75.85.63:35455/douyu/315457
冰冰经典✔原,http://159.75.85.63:35455/douyu/74374
星爷影院✔原,http://159.75.85.63:35455/douyu/508118
凌儿影院✔原,http://159.75.85.63:35455/douyu/1377142
麓山迷踪✔原,http://159.75.85.63:35455/douyu/4505431
瑶瑶恐怖✔原,http://159.75.85.63:35455/douyu/2935323
怡寶影院✔原,http://159.75.85.63:35455/douyu/434971
小黛兮影✔原,http://159.75.85.63:35455/douyu/11553944
萌小鬼片✔原,http://159.75.85.63:35455/douyu/3928
神乐剧场✔原,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
神乐剧院✔原,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
神乐影剧✔原,http://159.75.85.63:35455/douyu/122402
可乐影院✔原,http://159.75.85.63:35455/douyu/20415
小宇60帧✔原,http://159.75.85.63:35455/douyu/323876
恐怖惊悚✔原,http://159.75.85.63:35455/douyu/96577
電影劇場✔原,http://159.75.85.63:35455/douyu/7575350
豆瓣高分✔原,http://159.75.85.63:35455/douyu/8770422
花卷陪看✔原,http://159.75.85.63:35455/douyu/52787
漫威剧情✔原,http://159.75.85.63:35455/douyu/6140589
霍格沃茨✔原,http://159.75.85.63:35455/douyu/8814650
鱼宝恐怖✔原,http://159.75.85.63:35455/douyu/1165374
鬼片恐怖✔原,http://159.75.85.63:35455/douyu/2935323
小u*鬼片✔原,http://159.75.85.63:35455/douyu/96577
小u*鬼片✔原,http://mmitv.top/test/douyu.php?id=96577&u=4150734&cate
吃奶滴虫✔原,http://159.75.85.63:35455/douyu/263824
变种人片✔原,http://159.75.85.63:35455/douyu/9651304
喜剧电影✔原,http://159.75.85.63:35455/douyu/9292492
女神电影✔原,http://159.75.85.63:35455/douyu/747764
华语经典✔原,http://159.75.85.63:35455/douyu/434971
避风影院✔原,http://159.75.85.63:35455/douyu/9826611
欧美大片✔原,http://159.75.85.63:35455/douyu/2793084
贝爷max✔原,http://159.75.85.63:35455/douyu/4332
贝爷影厅✔原,http://159.75.85.63:35455/douyu/252802
小猪优版剧院,https://www.goodiptv.club/douyu/10297898
绍兴影院频道,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
南京影院频道,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
平泉影院频道,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
新昌休闲影院,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
赵本山经小品,https://www.goodiptv.club/douyu/9817716
开心麻花小品,https://www.goodiptv.club/douyu/10153463
宋小宝小品台,https://www.goodiptv.club/douyu/9817729

💝卫视频道👉全网,#genre#
东方卫视,http://dp.sxtv.top:88/2b/migu.php?id=dfws 
重庆卫视,http://dp.sxtv.top:88/2b/migu.php?id=cqws 
吉林卫视,http://dp.sxtv.top:88/2b/migu.php?id=jlws 
辽宁卫视,http://dp.sxtv.top:88/2b/migu.php?id=lnws 
内蒙古卫视,http://dp.sxtv.top:88/2b/migu.php?id=nmws 
宁夏卫视,http://dp.sxtv.top:88/2b/migu.php?id=nxws 
甘肃卫视,http://dp.sxtv.top:88/2b/migu.php?id=gsws 
青海卫视,http://dp.sxtv.top:88/2b/migu.php?id=qhws 
陕西卫视,http://dp.sxtv.top:88/2b/migu.php?id=sxws 
山东卫视,http://dp.sxtv.top:88/2b/migu.php?id=sdws 
河南卫视,http://dp.sxtv.top:88/2b/migu.php?id=hnws 
湖北卫视,http://dp.sxtv.top:88/2b/migu.php?id=hubws 
湖南卫视x,http://dp.sxtv.top:88/2b/migu.php?id=hunws 
江西卫视,http://dp.sxtv.top:88/2b/migu.php?id=jxws 
江苏卫视,http://dp.sxtv.top:88/2b/migu.php?id=jsws 
东南卫视x,http://dp.sxtv.top:88/2b/migu.php?id=dnws 
海峡卫视,http://dp.sxtv.top:88/2b/migu.php?id=hxws 
广东卫视x,http://dp.sxtv.top:88/2b/migu.php?id=gdws 
大湾区卫视,http://dp.sxtv.top:88/2b/migu.php?id=dwqws 
广西卫视,http://dp.sxtv.top:88/2b/migu.php?id=gxws 
云南卫视,http://dp.sxtv.top:88/2b/migu.php?id=ynws 
贵州卫视,http://dp.sxtv.top:88/2b/migu.php?id=gzws 
新疆卫视,http://dp.sxtv.top:88/2b/migu.php?id=xjws 
西藏卫视,http://dp.sxtv.top:88/2b/migu.php?id=xzws 
海南卫视,http://dp.sxtv.top:88/2b/migu.php?id=hinws 

浙江卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=17
东方卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=18
辽宁卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=19
北京卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=20
贵州卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=21
重庆卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=22
云南卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=23
旅游卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=24
安徽卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=25
优漫卡通,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=26
江西卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=27
吉林卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=28
四海钓鱼,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=29
天津卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=30
卡酷动画,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=31
广西卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=32
四川卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=33
湖北卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=34
陕西卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=35
江苏卫视高清,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=36
东南卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=37
黑龙江卫视高清,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=38
广东卫视,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=39
山东卫视高清,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=40
湖南经视高清,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=41
湖南公共,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=42
湖南卫视高清,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=43
金鹰卡通,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=44
金鹰纪实,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=45
先锋乒羽,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=46
湖南娱乐,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=47
湖南都市,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=48
湖南电视剧,http://tvbox.mohuajz.eu.org/tv/vip1.php?id=49
